"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 18 06:23:23 GMT 2021","Mon Oct 18 06:25:32 GMT 2021","128382","","test/parallel/xyk-pallet.liquidity.test.ts","","test/parallel/xyk-pallet.liquidity.test.ts","xyk-pallet - Liqudity : Burn part of the liquidity","xyk-pallet - Liqudity : Burn part of the liquidity",""
"passed","Mon Oct 18 06:36:25 GMT 2021","Mon Oct 18 06:36:25 GMT 2021","20","","xyk-rpc - calculate get_burn amount: OK","","xyk-rpc - calculate get_burn amount: OK","validate parameters - burn from pool [firstIdx->0,secondIdx->1,amount->1000,expected->1.0000 nUnit]","validate parameters - burn from pool [firstIdx->0,secondIdx->1,amount->1000,expected->1.0000 nUnit]",""
"passed","Mon Oct 18 06:35:33 GMT 2021","Mon Oct 18 06:37:19 GMT 2021","106021","","test/parallel/xyk-pallet.asset.transfer.test.ts","","test/parallel/xyk-pallet.asset.transfer.test.ts","xyk-pallet - AssetsOperation: transferAsset","xyk-pallet - AssetsOperation: transferAsset",""
"passed","Mon Oct 18 06:39:24 GMT 2021","Mon Oct 18 06:39:24 GMT 2021","29","","test/parallel/xyk-rpc.calculate.test.ts","","test/parallel/xyk-rpc.calculate.test.ts","xyk-rpc - calculate_sell_price and calculate_buy_price matches, 2000,1000","xyk-rpc - calculate_sell_price and calculate_buy_price matches, 2000,1000",""
"passed","Mon Oct 18 06:30:58 GMT 2021","Mon Oct 18 06:33:00 GMT 2021","122793","","test/parallel/xyk-pallet.asset.buy.test.ts","","test/parallel/xyk-pallet.asset.buy.test.ts","xyk-pallet - AssetsOperation: buyAsset [maxAmountIn = 1M], buy asset","xyk-pallet - AssetsOperation: buyAsset [maxAmountIn = 1M], buy asset",""
"passed","Mon Oct 18 06:30:06 GMT 2021","Mon Oct 18 06:32:31 GMT 2021","145406","","xyk-pallet - Burn liquidity tests: when burning liquidity you can","","xyk-pallet - Burn liquidity tests: when burning liquidity you can","Burning liquidities provides Burn and settle","Burning liquidities provides Burn and settle",""
"passed","Mon Oct 18 06:43:25 GMT 2021","Mon Oct 18 06:43:25 GMT 2021","10","","xyk-rpc - calculate_buy_price_by_id, calculate_sell_price_by_id","","xyk-rpc - calculate_buy_price_by_id, calculate_sell_price_by_id","validate parameters - buy [soldTokenId->3,boughtTokenId->2,amount->1,expected->3]","validate parameters - buy [soldTokenId->3,boughtTokenId->2,amount->1,expected->3]",""
"passed","Mon Oct 18 06:39:43 GMT 2021","Mon Oct 18 06:40:01 GMT 2021","17413","","test/parallel/xyk-pallet.sudo.security.test.ts","","test/parallel/xyk-pallet.sudo.security.test.ts","xyk-pallet - SecurityTests - Only sudo can perform actions [tokens.mint to itself]","xyk-pallet - SecurityTests - Only sudo can perform actions [tokens.mint to itself]",""
"passed","Mon Oct 18 06:36:10 GMT 2021","Mon Oct 18 06:36:10 GMT 2021","4","","test/parallel/xyk-rpc.errors.test.ts","","test/parallel/xyk-rpc.errors.test.ts","xyk-rpc - calculate_buy_price validates parameters - Zeroes [inputReserve->0,outputReserve->0,amount->1,expected->0]","xyk-rpc - calculate_buy_price validates parameters - Zeroes [inputReserve->0,outputReserve->0,amount->1,expected->0]",""
"passed","Mon Oct 18 06:38:50 GMT 2021","Mon Oct 18 06:41:32 GMT 2021","161947","","test/parallel/xyk-pallet.API.testMGArequired.test.ts","","test/parallel/xyk-pallet.API.testMGArequired.test.ts","xyk-pallet - User Balance - Selling an asset does not require paying fees","xyk-pallet - User Balance - Selling an asset does not require paying fees",""
"passed","Mon Oct 18 06:36:10 GMT 2021","Mon Oct 18 06:36:10 GMT 2021","3","","test/parallel/xyk-rpc.errors.test.ts","","test/parallel/xyk-rpc.errors.test.ts","xyk-rpc - calculate_buy_price validates parameters - Zeroes [inputReserve->0,outputReserve->0,amount->0,expected->0]","xyk-rpc - calculate_buy_price validates parameters - Zeroes [inputReserve->0,outputReserve->0,amount->0,expected->0]",""
"passed","Mon Oct 18 06:25:49 GMT 2021","Mon Oct 18 06:28:13 GMT 2021","143423","","xyk-pallet - Mint liquidity tests: MintLiquidity Errors:","","xyk-pallet - Mint liquidity tests: MintLiquidity Errors:","Mint liquidity when not enough assetX for minting Yamount","Mint liquidity when not enough assetX for minting Yamount",""
"passed","Mon Oct 18 06:38:50 GMT 2021","Mon Oct 18 06:39:07 GMT 2021","17409","","test/parallel/xyk-pallet.sudo.security.test.ts","","test/parallel/xyk-pallet.sudo.security.test.ts","xyk-pallet - SecurityTests - Only sudo can perform actions [tokens.create]","xyk-pallet - SecurityTests - Only sudo can perform actions [tokens.create]",""
"passed","Mon Oct 18 06:36:10 GMT 2021","Mon Oct 18 06:36:10 GMT 2021","4","","test/parallel/xyk-rpc.errors.test.ts","","test/parallel/xyk-rpc.errors.test.ts","xyk-rpc - calculate_sell_price validates parameters - Zeroes [inputReserve->1,outputReserve->1,amount->0,expected->0]","xyk-rpc - calculate_sell_price validates parameters - Zeroes [inputReserve->1,outputReserve->1,amount->0,expected->0]",""
"skipped","Mon Oct 18 06:30:55 GMT 2021","Mon Oct 18 06:30:55 GMT 2021","0","","xyk-pallet - Operate with a user account close to overflow","","xyk-pallet - Operate with a user account close to overflow","Sell a few assets to a wallet that is full => overflow. NOT A BUG: https://trello.com/c/J3fzuwH5","Sell a few assets to a wallet that is full => overflow. NOT A BUG: https://trello.com/c/J3fzuwH5",""
"passed","Mon Oct 18 06:34:54 GMT 2021","Mon Oct 18 06:34:54 GMT 2021","32","","xyk-pallet - Pool opeations: Simmetry","","xyk-pallet - Pool opeations: Simmetry","GetBalance x-y and y-x pool","GetBalance x-y and y-x pool",""
"passed","Mon Oct 18 06:28:13 GMT 2021","Mon Oct 18 06:31:14 GMT 2021","181186","","xyk-pallet - Mint liquidity tests: MintLiquidity Errors:","","xyk-pallet - Mint liquidity tests: MintLiquidity Errors:","Mint liquidity assets that does not belong to any pool","Mint liquidity assets that does not belong to any pool",""
